0,1,"[0.08903947368421053, 0.8368157894736841, 0.07418684210526315]"
0,4,"[0.06661111111111112, 0.8059555555555556, 0.12740555555555555]"
0,6,"[0.08486363636363638, 0.8512727272727273, 0.06386363636363636]"
0,7,"[0.1402, 0.7872, 0.0728]"
0,8,"[0.0874919540229885, 0.8279218390804598, 0.08457241379310344]"
0,9,"[0.10327499999999999, 0.8252499999999999, 0.0715]"
0,11,"[0.06605555555555556, 0.8333333333333334, 0.10061111111111112]"
0,13,"[0.1132857142857143, 0.7686428571428571, 0.11792857142857142]"
0,15,"[0.19140000000000001, 0.7355, 0.07289999999999999]"
0,18,"[0.0915, 0.79, 0.1185]"
0,19,"[0.0922875, 0.803975, 0.10377499999999998]"
0,21,"[0.1199, 0.83465, 0.04545]"
0,22,"[0.039, 0.8305, 0.1305]"
0,23,"[0.1287, 0.7483, 0.123]"
0,24,"[0.07474, 0.8394600000000001, 0.086]"
0,25,"[0.0752, 0.7964, 0.1286]"
0,26,"[0.1912, 0.7208, 0.0881]"
0,27,"[0.09870000000000001, 0.8041333333333333, 0.0971]"
0,28,"[0.07721271676300577, 0.8331953757225437, 0.08959479768786126]"
0,30,"[0.08541304347826087, 0.832886956521739, 0.07602608695652174]"
0,31,"[0.1083, 0.8235, 0.0683]"
0,32,"[0.08861153846153846, 0.7759192307692307, 0.13548076923076924]"
0,33,"[0.07243333333333334, 0.8582166666666667, 0.06933333333333333]"
0,34,"[0.08130555555555556, 0.8071694444444444, 0.1115]"
0,35,"[0.1653, 0.7728, 0.062]"
0,36,"[0.068, 0.8049999999999999, 0.127]"
0,37,"[0.035, 0.855, 0.10999999999999999]"
0,38,"[0.231, 0.7389, 0.0301]"
0,39,"[0.1785, 0.732, 0.0895]"
0,40,"[0.06532500000000001, 0.8377, 0.096925]"
0,41,"[0.14695, 0.7887500000000001, 0.06425]"
0,42,"[0.1803, 0.7543, 0.0653]"
0,43,"[0.0508, 0.8469, 0.10225000000000001]"
0,44,"[0.16064545454545456, 0.7566181818181819, 0.08262727272727273]"
0,45,"[0.0644, 0.85075, 0.08485000000000001]"
0,46,"[0.08265666666666667, 0.7980399999999999, 0.11935666666666668]"
0,49,"[0.082, 0.837, 0.081]"
0,50,"[0.1314, 0.7755, 0.0931]"
0,55,"[0.0985, 0.7528, 0.14885]"
0,56,"[0.058495454545454545, 0.8590727272727272, 0.08247272727272727]"
0,57,"[0.2045, 0.7607, 0.0348]"
0,58,"[0.1595, 0.7825, 0.058]"
0,59,"[0.06038888888888889, 0.8560555555555556, 0.08355555555555555]"
0,61,"[0.187, 0.729, 0.084]"
0,63,"[0.09817380952380951, 0.812461904761905, 0.08933333333333333]"
0,64,"[0.09128000000000001, 0.7984628571428574, 0.11025714285714287]"
0,65,"[0.04035, 0.80575, 0.15415]"
0,68,"[0.09254629629629628, 0.8348685185185184, 0.0726037037037037]"
0,69,"[0.0876, 0.784, 0.1286]"
0,70,"[0.04795, 0.83, 0.122025]"
0,71,"[0.08465892857142858, 0.8188455357142856, 0.0964910714285715]"
0,72,"[0.09517142857142857, 0.8242000000000002, 0.08062857142857142]"
0,73,"[0.076, 0.8284333333333334, 0.09551666666666665]"
0,74,"[0.11588550724637682, 0.796291304347826, 0.08785072463768118]"
0,75,"[0.1406, 0.6903, 0.1067]"
0,76,"[0.06405, 0.83795, 0.098]"
0,77,"[0.07078125000000002, 0.823665625, 0.10556562500000001]"
0,78,"[0.14150000000000001, 0.8023, 0.0561]"
0,79,"[0.0969, 0.8039, 0.0993]"
0,80,"[0.1045, 0.8379333333333333, 0.057499999999999996]"
0,81,"[0.09811379310344827, 0.8042620689655172, 0.0976137931034483]"
